ticker,name,sector,industry
CSX,CSX Corporation,Industrials,Rail Transportation
DAL,Delta Air Lines,Industrials,Passenger Airlines
FAST,Fastenal,Industrials,Trading Companies & Distributors
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services
UBER,Uber,Industrials,Passenger Ground Transportation
AMD,Advanced Micro Devices,Information Technology,Semiconductors
CIEN,Ciena,Information Technology,Communications Equipment
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals"
FFIV,"F5, Inc.",Information Technology,Communications Equipment
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment
ORCL,Oracle Corporation,Information Technology,Application Software
PLTR,Palantir Technologies,Information Technology,Application Software
QCOM,Qualcomm,Information Technology,Semiconductors
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals"
ALB,Albemarle Corporation,Materials,Specialty Chemicals
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals
ECL,Ecolab,Materials,Specialty Chemicals
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials
LIN,Linde plc,Materials,Industrial Gases
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals
SHW,Sherwin-Williams,Materials,Specialty Chemicals
AMT,American Tower,Real Estate,Telecom Tower REITs
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs
CBRE,CBRE Group,Real Estate,Real Estate Services
EQIX,Equinix,Real Estate,Data Center REITs
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs
KIM,Kimco Realty,Real Estate,Retail REITs
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs
VICI,Vici Properties,Real Estate,Hotel & Resort REITs
WY,Weyerhaeuser,Real Estate,Timber REITs
AEE,Ameren,Utilities,Multi-Utilities
ATO,Atmos Energy,Utilities,Gas Utilities
CEG,Constellation Energy,Utilities,Electric Utilities
DTE,DTE Energy,Utilities,Multi-Utilities
FE,FirstEnergy,Utilities,Electric Utilities
LNT,Alliant Energy,Utilities,Electric Utilities
SRE,Sempra,Utilities,Multi-Utilities
VST,Vistra Corp.,Utilities,Electric Utilities
XEL,Xcel Energy,Utilities,Multi-Utilities
